building_shortname,floor,number,size,occupancy,lat,long
muddblaisdell,0,025A,115.0,two room double,34.0959131555,-117.712254437
muddblaisdell,0,025B,94.0,two room double,34.0959131555,-117.712297352
harwood,0,1,278.0,double,34.0960230328,-117.71402788
muddblaisdell,0,1,236.0,double,34.096296301,-117.711931901
nortonclark,1,1,137.0,single,34.0999665661,-117.710536314
wig,0,1,189.0,double,34.095795366,-117.714705808
muddblaisdell,0,10,297.0,double,34.0960875147,-117.711915808
nortonclark,1,10,137.0,single,34.0997899939,-117.710580571
nortonclark,1,100,115.0,single,34.1000681782,-117.71091987
clarki,1,100A,177.0,two room double,34.1007411466,-117.710939316
wig,1,100A,202.0,two room triple,34.0963909075,-117.71457438
clarki,1,100B,121.0,two room double,34.1007094972,-117.710937975
wig,1,100B,116.0,two room triple,34.0963981262,-117.714620648
harwood,1,101,114.0,single,34.0960396913,-117.714063419
nortonclark,1,101,306.0,double,34.100110933,-117.710929928
oldenborg,1,101,193.0,double,34.0974689786,-117.711729227
smiley,1,101,99.0,single,34.099474329,-117.712330712
wig,1,101,193.0,double,34.0963264948,-117.7146468
bhall,1,101,122.0,single,34.1000631809,-117.709464772
clarki,1,101A,166.0,two room double,34.1007744618,-117.710938646
clarki,1,101B,121.0,two room double,34.1008061112,-117.710921882
harwood,1,102,297.0,double,34.0960408019,-117.713989659
nortonclark,1,102,123.0,single,34.1001686798,-117.710916517
oldenborg,1,102,193.0,double,34.0973934613,-117.711729227
smiley,1,102,132.6,single,34.099451008,-117.712409167
wig,1,102,193.0,double,34.0963892417,-117.714534818
bhall,1,102,137.0,single,34.100089278,-117.709491594
clarki,1,102A,158.0,two room double,34.1008599707,-117.710837392
clarki,1,102B,102.0,two room double,34.1008249898,-117.71083538
nortonclark,1,103,269.0,double,34.100255855,-117.710562466
oldenborg,1,103,135.0,single,34.0974612048,-117.711827128
smiley,1,103,125.0,single,34.099448787,-117.712325348
wig,1,103,193.0,double,34.0963253843,-117.714589803
bhall,1,103,120.0,single,34.0999937737,-117.709465443
clarki,1,103A,137.0,two room double,34.100893841,-117.710939316
clarki,1,103B,121.0,two room double,34.1008627469,-117.710923223
harwood,1,104,116.0,single,34.0960885562,-117.713988318
nortonclark,1,104,130.0,single,34.1001892242,-117.710636897
oldenborg,1,104,135.0,single,34.0974006798,-117.711825787
smiley,1,104,119.2,single,34.0993943713,-117.712406485
wig,1,104,158.0,single,34.0963903522,-117.714487208
bhall,1,104,137.0,single,34.0999637898,-117.709494276
clarki,1,104A,147.0,two room double,34.1009638027,-117.710929258
clarki,1,104B,123.0,two room double,34.1009304876,-117.710939987
nortonclark,1,105,136.0,single,34.1001553536,-117.710637568
oldenborg,1,105,148.0,single,34.0974567626,-117.711892172
smiley,1,105,105.1,single,34.0994238002,-117.712323336
wig,1,105,181.0,double,34.0962373721,-117.71442887
clarki,1,105A,191.0,two room double,34.1009921206,-117.710932611
clarki,1,105B,115.0,two room double,34.1010271014,-117.710930599
harwood,1,106,150.0,single,34.0961196521,-117.713997705
nortonclark,1,106,136.0,single,34.1001203724,-117.710633544
oldenborg,1,106,148.0,single,34.0974023457,-117.711893513
smiley,1,106,124.0,single,34.0993593898,-117.712397097
wig,1,106,181.0,double,34.0962651362,-117.714507996
clarki,1,106A,198.0,two room double,34.1010781844,-117.710933952
clarki,1,106B,109.0,two room double,34.101105947,-117.710935293
lyon,1,107,224.0,single,34.0959164182,-117.714023186
nortonclark,1,107,156.0,single,34.1000476337,-117.710631533
oldenborg,1,107,148.0,single,34.0974545415,-117.711940451
smiley,1,107,102.0,single,34.0993965924,-117.712321995
wig,1,107,193.0,single,34.0961451951,-117.71442887
clarki,1,107A,185.0,two room double,34.1011425935,-117.710920541
clarki,1,107B,118.0,two room double,34.1011736875,-117.710934622
harwood,1,108,188.0,single,34.0961774015,-117.714000388
lyon,1,108,224.0,double,34.0959186393,-117.714083536
oldenborg,1,108,148.0,single,34.0974012351,-117.711941122
smiley,1,108,96.1,single,34.0993277399,-117.712398438
wig,1,108,137.0,single,34.0962295981,-117.714509337
clarki,1,108A,169.0,two room double,34.10124587,-117.710929258
clarki,1,108B,113.0,two room double,34.1012025605,-117.710935963
harwood,1,109,225.0,double,34.0961896178,-117.714084877
lyon,1,109,231.0,double,34.0958908751,-117.714135839
oldenborg,1,109,135.0,single,34.0974595389,-117.712005495
smiley,1,109,122.6,single,34.0993605004,-117.712336077
wig,1,109,193.0,double,34.0961063253,-117.714427529
clarki,1,109A,146.0,two room double,34.101274743,-117.71083471
clarki,1,109B,118.0,two room double,34.1012447595,-117.710836051
harwood,0,11,221.0,double,34.0962395932,-117.714094935
muddblaisdell,0,11,144.0,single,34.0960675245,-117.712008344
nortonclark,1,11,134.0,single,34.0998455198,-117.71064025
wig,0,11,181.0,double,34.0958009189,-117.714483185
harwood,1,110,129.0,single,34.0962062762,-117.714001729
lyon,1,110,224.0,double,34.0959019808,-117.71422301
nortonclark,1,110,142.0,single,34.1000009921,-117.710748879
oldenborg,1,110,135.0,single,34.0974012351,-117.712003483
smiley,1,110,126.5,single,34.0992944242,-117.712399109
wig,1,110,193.0,double,34.0961918389,-117.714506654
clarki,1,110A,202.0,two room double,34.1013352651,-117.710935963
clarki,1,110B,125.0,two room double,34.1013019502,-117.710931269
harwood,1,111,123.0,single,34.0962251559,-117.714086218
lyon,1,111,231.0,single,34.095898649,-117.714272631
muddblaisdell,1,111,148.0,single,34.0963307285,-117.712115633
nortonclark,1,111,123.0,single,34.1000004368,-117.710790454
oldenborg,1,111,135.0,single,34.0974606495,-117.712191908
smiley,1,111,118.0,single,34.099332182,-117.712332054
wig,1,111,236.0,single,34.0960596815,-117.714426188
sontag,1,111,121.0,single,34.1009632485,-117.709524451
bhall,1,111,120.0,single,34.1001392511,-117.709463431
clarki,1,111A,143.0,two room double,34.1014052264,-117.71093194
clarki,1,111B,138.0,two room double,34.1013713563,-117.710933281
lyon,1,112,224.0,double,34.0958053612,-117.714261902
muddblaisdell,1,112,219.0,single,34.0963923647,-117.712108257
nortonclark,1,112,296.0,double,34.0999998816,-117.710844768
smiley,1,112,115.0,single,34.0992322348,-117.712396427
wig,1,112,193.0,double,34.0961496374,-117.714507996
sontag,1,112,132.0,single,34.1009315991,-117.709562002
bhall,1,112,118.0,single,34.1002069924,-117.709464102
clarki,1,112A,164.0,two room double,34.101404116,-117.71079783
clarki,1,112B,123.0,two room double,34.101399674,-117.710840074
harwood,1,113,114.0,single,34.09625292,-117.7140889
lyon,1,113,240.0,double,34.0958053612,-117.714200212
muddblaisdell,1,113,148.0,single,34.0963312838,-117.712044554
nortonclark,1,113,136.0,single,34.099891051,-117.71094401
oldenborg,1,113,148.0,single,34.0974595389,-117.712252258
smiley,1,113,138.0,single,34.0992339005,-117.712335406
wig,1,113,193.0,double,34.0960130377,-117.714427529
sontag,1,113,123.0,single,34.1010320996,-117.709529816
bhall,1,113,137.0,single,34.1002342,-117.709496959
clarki,1,113A,145.0,two room double,34.1014024502,-117.710756255
clarki,1,113B,123.0,two room double,34.1014002292,-117.710716022
harwood,1,114,123.0,single,34.0962740207,-117.71400307
lyon,1,114,231.0,double,34.0958020295,-117.714135839
nortonclark,1,114,136.0,single,34.0998582907,-117.710941998
smiley,1,114,95.1,single,34.0991994743,-117.712396427
wig,1,114,193.0,double,34.0960619026,-117.714505313
sontag,1,114,138.0,single,34.1010620832,-117.709564684
clarki,1,114A,165.0,two room double,34.1014068922,-117.710633544
clarki,1,114B,109.0,two room double,34.1013991187,-117.71067646
lyon,1,115,224.0,double,34.0958020295,-117.714082194
muddblaisdell,1,115,148.0,single,34.0963335049,-117.711994933
nortonclark,1,115,136.0,single,34.0998221989,-117.710942669
oldenborg,1,115,148.0,single,34.0974612048,-117.712299197
smiley,1,115,132.0,single,34.0992005848,-117.712334065
wig,1,115,150.0,single,34.095937519,-117.714426188
clarki,1,115A,141.0,two room double,34.1013485911,-117.710686518
clarki,1,115B,141.0,two room double,34.1013163866,-117.710685847
harwood,1,116,108.0,single,34.0963051165,-117.71401514
lyon,1,116,224.0,double,34.0958075823,-117.714023186
nortonclark,1,116,210.0,double,34.0997938807,-117.710940657
wig,1,116,193.0,double,34.0960174799,-117.714503972
bhall,1,116,132.0,single,34.1001103777,-117.709493606
clarki,1,116A,124.0,two room double,34.1013269364,-117.710634885
muddblaisdell,1,116A,137.0,two room double,34.0963906989,-117.712048577
clarki,1,116B,124.0,two room double,34.1012941767,-117.710637568
muddblaisdell,1,116B,140.0,two room double,34.0963912542,-117.712012368
harwood,1,117,134.0,single,34.0963206644,-117.714096947
lyon,1,117,231.0,single,34.0958086929,-117.713978929
muddblaisdell,1,117,222.0,double,34.0964267922,-117.711943971
nortonclark,1,117,168.0,double,34.0999710082,-117.710994972
oldenborg,1,117,135.0,single,34.0974595389,-117.712366252
wig,1,117,144.0,single,34.0958819906,-117.714424847
clarki,1,117A,143.0,two room double,34.1012686352,-117.710534973
clarki,1,117B,154.0,two room double,34.1012669695,-117.710575206
lyon,1,118,231.0,double,34.0958075823,-117.713911874
muddblaisdell,1,118,185.0,double,34.0963373919,-117.711907761
nortonclark,1,118,120.0,single,34.0999721187,-117.711038558
wig,1,118,193.0,double,34.0959752784,-117.714505313
clarki,1,118A,124.0,two room double,34.1011964528,-117.710638909
muddblaisdell,1,118A,162.0,single,34.0963851461,-117.711897703
clarki,1,118B,124.0,two room double,34.1012269915,-117.710636226
harwood,1,119,157.0,single,34.0963506496,-117.714090242
lyon,1,119,224.0,double,34.095810914,-117.71385823
muddblaisdell,1,119,153.0,single,34.0962935246,-117.711932572
nortonclark,1,119,120.0,single,34.0999726739,-117.711066721
oldenborg,1,119,193.0,double,34.0974667575,-117.712428613
wig,1,119,144.0,single,34.0958497841,-117.714426188
clarki,1,119A,138.0,two room double,34.1011714665,-117.710683836
clarki,1,119B,141.0,two room double,34.1012097788,-117.710684506
muddblaisdell,0,12,209.0,double,34.0960208807,-117.711925866
nortonclark,1,12,137.0,single,34.0997905492,-117.71061611
harwood,1,120,180.0,double,34.0963306595,-117.713988318
lyon,1,120,224.0,single,34.0958120246,-117.713804586
muddblaisdell,1,120,161.0,double,34.0962557654,-117.711912455
nortonclark,1,120,177.0,double,34.0999715634,-117.711120365
wig,1,120,205.0,double,34.0959308556,-117.714505313
clarki,1,120A,145.0,two room double,34.101272522,-117.710760949
clarki,1,120B,112.0,two room double,34.1012442042,-117.71077369
lyon,1,121,231.0,double,34.0958075823,-117.713752283
muddblaisdell,1,121,148.0,double,34.0962546548,-117.711998286
nortonclark,1,121,134.0,single,34.0999687871,-117.711290686
oldenborg,1,121,193.0,double,34.0973934613,-117.712428613
wig,1,121,104.0,single,34.0958197987,-117.714420824
sontag,1,121,120.0,single,34.1009626932,-117.709698795
bhall,1,121,137.0,single,34.1002375315,-117.709586142
clarki,1,121A,152.0,two room double,34.101137041,-117.710684506
clarki,1,121B,141.0,two room double,34.1011020602,-117.710683836
lyon,1,122,231.0,double,34.0958098035,-117.713686569
muddblaisdell,1,122,151.0,single,34.0962246696,-117.711911785
nortonclark,1,122,140.0,single,34.0999682319,-117.711331589
oldenborg,1,122,135.0,single,34.0973512604,-117.712234153
sontag,1,122,136.0,single,34.1009310439,-117.709658562
bhall,1,122,119.0,single,34.1002075477,-117.709622352
clarki,1,122A,121.0,two room double,34.1011142757,-117.710638238
clarki,1,122B,129.0,two room double,34.101088179,-117.710639579
lyon,1,123,224.0,single,34.0958053612,-117.713638289
muddblaisdell,1,123,148.0,double,34.0962146745,-117.711996945
nortonclark,1,123,195.0,double,34.0999710082,-117.711373164
oldenborg,1,123,135.0,single,34.0973529262,-117.71230255
wig,1,123,128.0,single,34.095793145,-117.714424847
sontag,1,123,123.0,single,34.1010320996,-117.709690748
bhall,1,123,121.0,single,34.1001398064,-117.709621011
clarki,1,123A,151.0,two room double,34.1010648584,-117.710532961
clarki,1,123B,151.0,two room double,34.1010570849,-117.7105799
lyon,1,124,224.0,double,34.0958075823,-117.713576598
muddblaisdell,1,124,148.0,double,34.0961919079,-117.711915138
oldenborg,1,124,148.0,single,34.097300175,-117.712228118
sontag,1,124,139.0,single,34.1010620832,-117.709655879
bhall,1,124,137.0,single,34.100113154,-117.70958413
clarki,1,124A,132.0,two room double,34.100984347,-117.710638238
clarki,1,124B,116.0,two room double,34.1010154411,-117.710638909
lyon,1,125,231.0,double,34.0958142457,-117.713524295
muddblaisdell,1,125,148.0,double,34.0961141683,-117.711913796
oldenborg,1,125,148.0,single,34.0973007303,-117.712316631
wig,1,125,181.0,double,34.0957986978,-117.714483856
clarki,1,125A,149.0,two room double,34.1009649132,-117.710683165
clarki,1,125B,138.0,two room double,34.1010037808,-117.710683836
muddblaisdell,1,126,148.0,double,34.0960902911,-117.711998957
oldenborg,1,126,148.0,single,34.0972713007,-117.712241529
clarki,1,126A,141.0,two room double,34.1009310429,-117.710681824
clarki,1,126B,135.0,two room double,34.1008932858,-117.710682495
harwood,1,127,151.0,single,34.0964117306,-117.713937356
