building,floor,number,size,occupancy
clarki,1,100A,177.0,two room double
clarki,1,100B,121.0,two room double
clarki,1,101A,166.0,two room double
clarki,1,101B,121.0,two room double
clarki,1,102A,158.0,two room double
clarki,1,102B,102.0,two room double
clarki,1,103A,137.0,two room double
clarki,1,103B,121.0,two room double
clarki,1,104A,147.0,two room double
clarki,1,104B,123.0,two room double
clarki,1,105A,191.0,two room double
clarki,1,105B,115.0,two room double
clarki,1,106A,198.0,two room double
clarki,1,106B,109.0,two room double
clarki,1,107A,185.0,two room double
clarki,1,107B,118.0,two room double
clarki,1,108A,169.0,two room double
clarki,1,108B,113.0,two room double
clarki,1,109A,146.0,two room double
clarki,1,109B,118.0,two room double
clarki,1,110A,202.0,two room double
clarki,1,110B,125.0,two room double
clarki,1,111A,143.0,two room double
clarki,1,111B,138.0,two room double
clarki,1,112A,164.0,two room double
clarki,1,112B,123.0,two room double
clarki,1,113A,145.0,two room double
clarki,1,113B,123.0,two room double
clarki,1,114A,165.0,two room double
clarki,1,114B,109.0,two room double
clarki,1,115A,141.0,two room double
clarki,1,115B,141.0,two room double
clarki,1,116A,124.0,two room double
clarki,1,116B,124.0,two room double
clarki,1,117A,143.0,two room double
clarki,1,117B,154.0,two room double
clarki,1,118A,124.0,two room double
clarki,1,118B,124.0,two room double
clarki,1,119A,138.0,two room double
clarki,1,119B,141.0,two room double
clarki,1,120A,145.0,two room double
clarki,1,120B,112.0,two room double
clarki,1,121A,152.0,two room double
clarki,1,121B,141.0,two room double
clarki,1,122A,121.0,two room double
clarki,1,122B,129.0,two room double
clarki,1,123A,151.0,two room double
clarki,1,123B,151.0,two room double
clarki,1,124A,132.0,two room double
clarki,1,124B,116.0,two room double
clarki,1,125A,149.0,two room double
clarki,1,125B,138.0,two room double
clarki,1,126A,141.0,two room double
clarki,1,126B,135.0,two room double
clarki,1,127A,121.0,two room double
clarki,1,127B,127.0,two room double
clarki,1,129A,124.0,two room double
clarki,1,129B,129.0,two room double
clarki,1,130A,138.0,two room double
clarki,1,130B,138.0,two room double
clarki,1,131A,147.0,two room double
clarki,1,131B,120.0,two room double
clarki,1,132A,138.0,two room double
clarki,1,132B,138.0,two room double
clarki,1,133A,115.0,two room double
clarki,1,133B,118.0,two room double
clarki,2,200A,171.0,two room double
clarki,2,200B,149.0,two room double
clarki,2,201A,124.0,two room double
clarki,2,201B,124.0,two room double
clarki,2,202A,132.0,two room double
clarki,2,202B,135.0,two room double
clarki,2,203A,199.0,double
clarki,2,203B,184.0,double
clarki,2,203C,141.0,single
clarki,2,205A,141.0,two room double
clarki,2,205B,141.0,two room double
clarki,2,206A,118.0,two room double
clarki,2,206B,132.0,two room double
clarki,2,207A,195.0,two room double
clarki,2,207B,149.0,two room double
clarki,2,208A,135.0,two room double
clarki,2,208B,116.0,two room double
clarki,2,209A,141.0,two room double
clarki,2,209B,141.0,two room double
clarki,2,210A,138.0,two room double
clarki,2,210B,138.0,two room double
clarki,2,211A,121.0,two room double
clarki,2,211B,124.0,two room double
clarki,2,212A,135.0,two room double
clarki,2,212B,124.0,two room double
clarki,2,213A,141.0,two room double
clarki,2,213B,141.0,two room double
clarki,2,214A,199.0,double
clarki,2,214B,184.0,double
clarki,2,214C,141.0,single
clarki,2,216A,135.0,two room double
clarki,2,216B,138.0,two room double
clarki,2,217A,118.0,two room double
clarki,2,217B,129.0,two room double
clarki,2,218A,175.0,two room double
clarki,2,218B,149.0,two room double
clarki,2,219A,118.0,two room double
clarki,2,219B,116.0,two room double
clarki,2,220A,132.0,two room double
clarki,2,220B,138.0,two room double
clarki,2,221,258.0,double
clarki,2,222,278.0,double
clarkv,1,401,129.0,single
clarkv,1,402,124.0,single
clarkv,1,403,129.0,single
clarkv,1,404,127.0,single
clarkv,1,405,129.0,single
clarkv,1,406,129.0,single
clarkv,1,407,127.0,single
